hrt_value,t_value
70899.0,1080.14152
70906.0,1080.182025
70913.0,1080.222161
70935.0,1080.262272
70956.0,1080.302385
70989.0,1080.342524
71018.0,1080.382661
71049.0,1080.42281
71072.0,1080.462941
71100.0,1080.503079
71125.0,1080.543213
71148.0,1080.583362
71169.0,1080.623511
71186.0,1080.663638
71218.0,1080.703778
71248.0,1080.743901
71267.0,1080.784044
71288.0,1080.824183
71249.0,1080.864336
71123.0,1080.904489
71028.0,1080.94461
70982.0,1080.984771
70965.0,1081.024889
70962.0,1081.065006
70985.0,1081.10517
71000.0,1081.145299
71002.0,1081.185447
70994.0,1081.225599
70990.0,1081.265738
70990.0,1081.305881
71006.0,1081.346
71033.0,1081.386143
71062.0,1081.426272
71087.0,1081.466414
71114.0,1081.506547
71138.0,1081.547026
71168.0,1081.587169
71184.0,1081.627298
71194.0,1081.667443
71216.0,1081.707559
71238.0,1081.7477
71263.0,1081.787817
71284.0,1081.827951
71280.0,1081.868092
71206.0,1081.908239
71099.0,1081.948378
71052.0,1081.988509
71034.0,1082.028647
71045.0,1082.06879
71071.0,1082.108908
71092.0,1082.149042
71111.0,1082.189175
71104.0,1082.229332
71091.0,1082.269478
71083.0,1082.309621
71108.0,1082.349776
71127.0,1082.389913
71154.0,1082.430057
71180.0,1082.470208
71210.0,1082.510347
71236.0,1082.550474
71259.0,1082.590621
71277.0,1082.63077
71300.0,1082.670888
71324.0,1082.711023
71342.0,1082.751168
71347.0,1082.791292
71306.0,1082.831792
71191.0,1082.871909
71098.0,1082.912036
71050.0,1082.952187
71043.0,1082.992344
71045.0,1083.032479
71063.0,1083.072622
71070.0,1083.112779
71060.0,1083.152899
71040.0,1083.193025
71033.0,1083.23317
71032.0,1083.273289
71041.0,1083.313432
71063.0,1083.353551
71094.0,1083.393708
71126.0,1083.433857
71160.0,1083.473993
71187.0,1083.514139
71205.0,1083.554269
71223.0,1083.594401
71243.0,1083.634532
71265.0,1083.674646
71290.0,1083.714798
71321.0,1083.75495
71331.0,1083.795093
71263.0,1083.83523
71126.0,1083.875357
71056.0,1083.915492
71012.0,1083.955637
71014.0,1083.995786
71015.0,1084.035928
71036.0,1084.07642
71053.0,1084.116541
71053.0,1084.156695
71044.0,1084.196818
71041.0,1084.236951
71049.0,1084.277092
71064.0,1084.31724
71094.0,1084.357393
71119.0,1084.39752
71153.0,1084.437651
71167.0,1084.477799
71196.0,1084.517927
71210.0,1084.558048
71231.0,1084.598185
71246.0,1084.638335
71259.0,1084.678488
71265.0,1084.718629
71269.0,1084.758777
71223.0,1084.798914
71198.0,1084.839029
71196.0,1084.879177
71208.0,1084.919332
71211.0,1084.959476
71235.0,1084.999609
71260.0,1085.039739
71284.0,1085.079879
71282.0,1085.120008
71298.0,1085.160166
71294.0,1085.200311
71306.0,1085.240474
71326.0,1085.28061
71339.0,1085.320767
71356.0,1085.360895
71365.0,1085.401012
71378.0,1085.441492
71399.0,1085.481629
71422.0,1085.521778
71446.0,1085.561909
71473.0,1085.602039
71497.0,1085.642176
71525.0,1085.682293
71550.0,1085.722414
71574.0,1085.76256
71591.0,1085.802716
71616.0,1085.842862
71640.0,1085.88301
71663.0,1085.923143
71685.0,1085.963262
71710.0,1086.003387
71732.0,1086.04352
71745.0,1086.083642
71772.0,1086.123792
71797.0,1086.163909
71818.0,1086.204049
71843.0,1086.244167
71860.0,1086.284289
71887.0,1086.324421
71896.0,1086.364914
71911.0,1086.405043
71916.0,1086.445191
71921.0,1086.485349
71923.0,1086.525492
71922.0,1086.565615
71915.0,1086.605767
71908.0,1086.645883
71896.0,1086.68601
71888.0,1086.726123
71876.0,1086.76625
71862.0,1086.806398
71875.0,1086.846521
71874.0,1086.886652
71874.0,1086.926782
71879.0,1086.966929
71881.0,1087.007058
71885.0,1087.04721
71897.0,1087.087349
71904.0,1087.127491
71914.0,1087.16763
71931.0,1087.207779
71942.0,1087.247909
71961.0,1087.288049
71975.0,1087.328182
71998.0,1087.368288
72011.0,1087.408432
